Player,FG36,FGA36,threesMade36,threesAttempted36,twosMade36,twosAttempted36,FT36,FTA36,ORB36,DRB36,TRB36,AST36,STL36,BLK36,TOV36,PF36,PTS36
Frank Kaminsky\kaminfr01,5.9,14.8,2.1,6.5,3.8,8.3,2.2,2.9,1.1,5.1,6.2,3,0.8,0.6,1.4,2.6,16.1
Enes Kanter\kanteen01,9.4,17.3,0.1,0.9,9.3,16.4,5.3,6.7,4.6,6.7,11.3,1.6,0.8,0.9,2.9,3.6,24.3
Ryan Kelly\kellyry01,2.6,9.2,1.3,3.3,1.3,5.9,1.6,2,0.3,5.6,5.9,2.6,1.3,1.6,1.3,1.6,8.2
Michael Kidd-Gilchrist\kiddgmi01,4.5,9.5,0,0.1,4.5,9.3,2.3,3,2.4,6.3,8.7,1.7,1.2,1.2,0.9,2.9,11.4
Sean Kilpatrick\kilpase01,6.3,15.1,2.2,6.3,4.1,8.8,4.2,5,0.5,5.3,5.7,3.2,0.9,0.1,2.8,2.4,18.9
Brandon Knight\knighbr03,6.6,16.6,1.4,4.4,5.2,12.2,4.2,4.9,0.8,2.9,3.7,4.1,0.9,0.2,2.8,2.7,18.8
Kyle Korver\korveky01,4.9,10.6,3.3,7.4,1.6,3.2,0.8,0.9,0.1,3.7,3.8,2.3,0.7,0.4,1.4,2.2,13.9
Kosta Koufos\koufoko01,5.5,9.9,0,0,5.5,9.9,1,1.6,3,7.2,10.2,1.2,0.9,1.2,1.5,4.4,11.9
Mindaugas Kuzminskas\kuzmimi01,5.6,13.1,1.9,6,3.7,7.1,1.9,2.4,1.7,2.8,4.5,2.4,1,0.4,1.8,2.8,15.1
Skal Labissiere\labissk01,6.9,12.8,0.2,0.5,6.7,12.4,3.1,4.4,3,6.5,9.5,1.6,0.9,0.8,2.2,3.8,17
Jeremy Lamb\lambje01,7.1,15.5,1.3,4.6,5.8,10.9,3.5,4.1,0.9,7.4,8.3,2.4,0.9,0.7,1.3,3.1,19
Nicolas Laprovittola\laproni01,4.1,9.7,2.1,5.6,2.1,4.1,1.9,1.9,0.2,1.9,2.1,5.8,0.8,0.2,3.9,3.9,12.2
Joffrey Lauvergne\lauvejo01,5.4,12.3,1.2,3.6,4.2,8.7,1.7,2.7,2.6,6.6,9.2,2.6,0.9,0.2,2.1,3,13.8
Zach LaVine\lavinza01,6.7,14.6,2.5,6.4,4.2,8.2,2.4,2.9,0.4,2.9,3.3,2.9,0.8,0.2,1.7,2.1,18.3
Ty Lawson\lawsoty01,4.9,10.8,0.7,2.5,4.2,8.4,3.6,4.5,0.9,2.8,3.7,6.9,1.5,0.1,2.7,2.5,14.2
Jake Layman\laymaja01,3.8,12.9,1.9,7.4,1.9,5.5,1.9,2.5,0.9,2.6,3.5,1.6,1.3,0.4,1.6,3.2,11.3
Courtney Lee\leeco01,4.7,10.3,1.6,3.9,3.1,6.4,1.2,1.4,0.8,3,3.8,2.6,1.2,0.4,1,2.1,12.2
David Lee\leeda02,6,10.2,0,0,6,10.2,1.9,2.8,3.6,7.1,10.7,3,0.8,1,2,3,14
Alex Len\lenal01,5.3,10.7,0.1,0.3,5.2,10.4,3.5,4.8,3.6,8.2,11.8,1,0.9,2.3,2.4,5.6,14.1
Kawhi Leonard\leonaka01,9.3,19.1,2.1,5.6,7.1,13.5,6.8,7.8,1.2,5.1,6.3,3.8,1.9,0.8,2.2,1.8,27.5
Meyers Leonard\leoname01,4.3,11.1,2.2,6.3,2.1,4.9,1,1.2,0.8,6.2,7,2.1,0.4,0.8,1,5.1,11.8
Jon Leuer\leuerjo01,5.7,12,0.9,3.1,4.8,8.9,1.8,2.1,1.9,5.6,7.4,2.1,0.6,0.5,1.2,2.7,14.2
Caris LeVert\leverca01,5,11.1,1.7,5.4,3.3,5.7,1.9,2.7,0.7,4.8,5.5,3.2,1.4,0.2,1.7,2.6,13.6
DeAndre Liggins\liggide01,2.5,6.6,0.8,2.1,1.8,4.4,1.2,1.9,0.9,4.1,5,2.5,2.2,0.6,1.9,3.8,7
Damian Lillard\lillada01,8.8,19.9,2.9,7.7,6,12.1,6.5,7.3,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27
Jeremy Lin\linje01,7.1,16.3,2.4,6.4,4.8,9.9,4.7,5.7,0.4,5.1,5.5,7.5,1.7,0.6,3.5,3.2,21.3
Shaun Livingston\livinsh01,4.6,8.5,0,0.1,4.6,8.4,1.1,1.6,0.7,3.3,4,3.7,1,0.5,1.7,3.2,10.4
Shawn Long\longsh01,9.4,16.8,1.1,2.9,8.3,13.8,2.9,5.4,6.3,6.8,13.1,2,1.4,1.4,2,7.5,22.8
Kevon Looney\looneke01,4.5,8.6,0.2,0.7,4.3,7.9,1.7,2.7,3.5,6.4,10,2.3,1.2,1.4,1.4,5.2,10.9
Brook Lopez\lopezbr01,9,19,2.2,6.3,6.8,12.7,4.8,5.9,2,4.6,6.5,2.9,0.6,2,3,3.1,24.9
Robin Lopez\lopezro01,6.1,12.3,0,0,6.1,12.3,1.2,1.6,3.9,4.4,8.2,1.3,0.3,1.9,1.4,2.4,13.3
Kevin Love\loveke01,7.1,16.6,2.8,7.4,4.3,9.1,4.9,5.6,2.8,9.9,12.7,2.2,1,0.4,2.3,2.4,21.8
Kyle Lowry\lowryky01,6.8,14.7,3.1,7.5,3.7,7.2,4.8,5.9,0.8,3.8,4.6,6.7,1.4,0.3,2.8,2.7,21.6
John Lucas III\lucasjo02,3.3,13.1,0,3.3,3.3,9.8,0,0,0,0,0,3.3,6.5,0,0,0,6.5
Timothe Luwawu-Cabarrot\luwawti01,4.4,10.9,1.5,4.9,2.9,6.1,3.2,3.7,0.8,3.8,4.5,2.3,1,0.3,2.2,4.7,13.5
Trey Lyles\lylestr01,4.9,13.6,2,6.3,2.9,7.3,1.8,2.5,1.5,5.8,7.3,2.1,0.8,0.6,2,3,13.7
Sheldon Mac\mcclesh01,3.8,9.4,0.9,3.8,2.9,5.6,2.9,3.4,0.5,3.8,4.3,1.9,1,0.3,0.6,2.1,11.3
Shelvin Mack\macksh01,5.1,11.4,1.1,3.6,4,7.8,1.6,2.3,0.6,3.1,3.7,4.6,1.3,0.1,2.7,3,12.8
Ian Mahinmi\mahinia01,4.2,7.2,0,0,4.2,7.2,2.8,4.9,3,6.7,9.7,1.2,2.1,1.6,2.2,5.8,11.2
Thon Maker\makerth01,5.3,11.6,1.8,4.7,3.5,6.9,2,3.1,2.6,4.7,7.3,1.5,0.6,1.7,1.1,5.4,14.5
Boban Marjanovic\marjabo01,8.8,16.2,0,0,8.8,16.2,5.8,7.1,5.7,10.3,16,1.1,0.7,1.5,1.2,3.1,23.5
